Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,6e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.1160e-06,0.08,0.24
-3.1140e-06,0.08,0.16
-3.1120e-06,0.08,0.16
-3.1100e-06,0.16,0.08
-3.1080e-06,0.16,0.16
-3.1060e-06,0.24,0.16
-3.1040e-06,0.16,0.16
-3.1020e-06,0.16,0.16
-3.1000e-06,0.08,0.08
-3.0980e-06,0.16,0.16
-3.0960e-06,0.08,0.16
-3.0940e-06,0.16,0.16
-3.0920e-06,0.08,0.08
-3.0900e-06,0.08,0.24
-3.0880e-06,0,0.08
-3.0860e-06,0.08,0.16
-3.0840e-06,0.16,0.16
-3.0820e-06,0.08,0.08
-3.0800e-06,0.16,0.16
-3.0780e-06,0.16,0.16
-3.0760e-06,0.08,0.16
-3.0740e-06,0.08,0.24
-3.0720e-06,0.16,0.16
-3.0700e-06,0.08,0.16
-3.0680e-06,0.24,0.16
-3.0660e-06,0.16,0.08
-3.0640e-06,0.08,0.16
-3.0620e-06,0.08,0.16
-3.0600e-06,0.08,0.16
-3.0580e-06,0.08,0.08
-3.0560e-06,0.08,0.16
-3.0540e-06,0.08,0.08
-3.0520e-06,0.08,0.08
-3.0500e-06,0.08,0.16
-3.0480e-06,0.08,0.16
-3.0460e-06,0.16,0.16
-3.0440e-06,0.16,0.08
-3.0420e-06,0.08,0.16
-3.0400e-06,0.08,0.24
-3.0380e-06,0.16,0.24
-3.0360e-06,0.08,0.08
-3.0340e-06,0.16,0.16
-3.0320e-06,0.08,0.16
-3.0300e-06,0.16,0.16
-3.0280e-06,0.16,0.24
-3.0260e-06,0.16,0.16
-3.0240e-06,0.08,0.16
-3.0220e-06,0.08,0.08
-3.0200e-06,0.08,0.16
-3.0180e-06,0.16,0.08
-3.0160e-06,0.08,0.08
-3.0140e-06,0.08,0.24
-3.0120e-06,0.16,0.24
-3.0100e-06,0.08,0.16
-3.0080e-06,0,0.16
-3.0060e-06,0.16,0.16
-3.0040e-06,0,0.24
-3.0020e-06,0.16,0.16
-3.0000e-06,0.08,0.16
-2.9980e-06,0.08,0.24
-2.9960e-06,0.08,0.16
-2.9940e-06,0.08,0.08
-2.9920e-06,0.16,0.16
-2.9900e-06,0.08,0.08
-2.9880e-06,0,0.08
-2.9860e-06,0.16,0.16
-2.9840e-06,0.08,0.08
-2.9820e-06,0.16,0.16
-2.9800e-06,0.16,0.16
-2.9780e-06,0.16,0.08
-2.9760e-06,0.08,0.16
-2.9740e-06,0.08,0.24
-2.9720e-06,0.16,0.16
-2.9700e-06,0.08,0.16
-2.9680e-06,0.16,0.24
-2.9660e-06,0.24,0.16
-2.9640e-06,0.24,0.16
-2.9620e-06,0.08,0.16
-2.9600e-06,0.08,0.16
-2.9580e-06,0.16,0.16
-2.9560e-06,0.08,0.16
-2.9540e-06,0.16,0.24
-2.9520e-06,0.24,0.16
-2.9500e-06,0.16,0.16
-2.9480e-06,0.16,0.08
-2.9460e-06,0.16,0.08
-2.9440e-06,0.16,0.16
-2.9420e-06,0.08,0.24
-2.9400e-06,0.08,0.16
-2.9380e-06,0.08,0.16
-2.9360e-06,0.16,0.16
-2.9340e-06,0.08,0.08
-2.9320e-06,0.16,0.16
-2.9300e-06,0.16,0.16
-2.9280e-06,0.08,0.08
-2.9260e-06,0.16,0.24
-2.9240e-06,0.08,0.16
-2.9220e-06,0.16,0.16
-2.9200e-06,0.08,0.24
-2.9180e-06,0.08,0.16
-2.9160e-06,0.16,0.16
