Time,Volt
-3.508e-06,-0.0003125
-3.506e-06,0.15875
-3.504e-06,0.12
-3.502e-06,0.24
-3.500e-06,0.076875
-3.498e-06,-0.118437
-3.496e-06,0.200937
-3.494e-06,0.08125
-3.492e-06,0.192813
-3.490e-06,0.198438
-3.488e-06,0.0396875
-3.486e-06,0.16125
-3.484e-06,0.159375
-3.482e-06,0.079375
-3.480e-06,0.0003125
-3.478e-06,0.0353125
-3.476e-06,0.2
-3.474e-06,0.080625
-3.472e-06,0.12
-3.470e-06,0.08
-3.468e-06,0.12
-3.466e-06,0.0409375
-3.464e-06,0.04
-3.462e-06,0.0778125
-3.460e-06,0.240625
-3.458e-06,0.115312
-3.456e-06,0.00125
-3.454e-06,0.317813
-3.452e-06,0.29
-3.450e-06,0.12
-3.448e-06,0.200312
-3.446e-06,0.0784375
-3.444e-06,0.08
-3.442e-06,0.119687
-3.440e-06,0.120625
-3.438e-06,0.07875
-3.436e-06,0.159688
-3.434e-06,0.119687
-3.432e-06,0.20125
-3.430e-06,0.199688
-3.428e-06,0.120313
-3.426e-06,0.238125
-3.424e-06,0.201875
-3.422e-06,0.08
-3.420e-06,0.000625
-3.418e-06,0.160938
-3.416e-06,0.159688
-3.414e-06,0.120938
-3.412e-06,0.04
-3.410e-06,0.08
-3.408e-06,0.0815625
-3.406e-06,0.241563
-3.404e-06,0.237813
-3.402e-06,0.161875
-3.400e-06,0.400625
-3.398e-06,0.0825
-3.396e-06,0.0803125
-3.394e-06,0.199688
-3.392e-06,0.160312
-3.390e-06,0.280313
-3.388e-06,0.2
-3.386e-06,0.23875
-3.384e-06,0.200312
-3.382e-06,0.119687
-3.380e-06,0.16125
-3.378e-06,0.15875
-3.376e-06,0.12
-3.374e-06,0.236563
-3.372e-06,0.318437
-3.370e-06,0.119375
-3.368e-06,0.240313
-3.366e-06,0.118437
-3.364e-06,0.202188
-3.362e-06,0.32
-3.360e-06,0.081875
-3.358e-06,0.2
-3.356e-06,0.239375
-3.354e-06,0.24
-3.352e-06,0.280938
-3.350e-06,0.279688
-3.348e-06,0.2
-3.346e-06,0.11875
-3.344e-06,0.279062
-3.342e-06,0.28
-3.340e-06,0.277813
-3.338e-06,0.119063
-3.336e-06,0.199375
-3.334e-06,0.244063
-3.332e-06,0.0396875
-3.330e-06,0.241875
-3.328e-06,0.277813
-3.326e-06,0.199063
-3.324e-06,0.200312
-3.322e-06,0.240313
-3.320e-06,0.240937
-3.318e-06,0.16
-3.316e-06,0.241563
-3.314e-06,0.321563
-3.312e-06,0.3175
-3.310e-06,0.079375
-3.308e-06,0.159375
-3.306e-06,0.24
-3.304e-06,0.24
-3.302e-06,0.236875
-3.300e-06,0.1225
-3.298e-06,0.320313
-3.296e-06,0.16
-3.294e-06,0.237188
-3.292e-06,0.19875
-3.290e-06,0.0790625
-3.288e-06,0.164063
-3.286e-06,0.319063
-3.284e-06,0.119063
