Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0.0003,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.567e-04,0.08,0.4
-1.566e-04,0.16,0.2
-1.565e-04,0.24,0.2
-1.564e-04,0.08,0.4
-1.563e-04,0.16,0.2
-1.562e-04,0.08,0.4
-1.561e-04,0.16,0.2
-1.560e-04,0.24,0.2
-1.559e-04,0.08,0.2
-1.558e-04,0.16,0.4
-1.557e-04,0.08,0.4
-1.556e-04,0.16,0.4
-1.555e-04,0.16,0.4
-1.554e-04,0.16,0.2
-1.553e-04,0.08,0.4
-1.552e-04,0.16,0.6
-1.551e-04,0.16,0
-1.550e-04,0.08,0.2
-1.549e-04,0.24,0.2
-1.548e-04,0.16,0.4
-1.547e-04,0.08,0.2
-1.546e-04,0.08,0.4
-1.545e-04,0.16,0.2
-1.544e-04,0.08,0.2
-1.543e-04,0.16,0
-1.542e-04,0.08,0
-1.541e-04,0.16,0.2
-1.540e-04,0.16,0.4
-1.539e-04,0.24,0.2
-1.538e-04,0.08,0.2
-1.537e-04,0.16,0.2
-1.536e-04,0.08,0.4
-1.535e-04,0.16,0.4
-1.534e-04,0.16,0.4
-1.533e-04,0.16,0.2
-1.532e-04,0.08,0.6
-1.531e-04,0.24,0.2
-1.530e-04,0.16,0.2
-1.529e-04,0.24,0.2
-1.528e-04,0.16,0.4
-1.527e-04,0.16,0.2
-1.526e-04,0.16,0.4
-1.525e-04,0.16,0.4
-1.524e-04,0.08,0.2
-1.523e-04,0.16,0.4
-1.522e-04,0.16,0.4
-1.521e-04,0.16,0.2
-1.520e-04,0.16,0.2
-1.519e-04,0.16,0.2
-1.518e-04,0,0.2
-1.517e-04,0.08,0.2
-1.516e-04,0.16,0.2
-1.515e-04,0.16,0.4
-1.514e-04,0.16,0.4
-1.513e-04,0.16,0.6
-1.512e-04,0.16,0.4
-1.511e-04,0.16,0.2
-1.510e-04,0.16,0.4
-1.509e-04,0.16,0.4
-1.508e-04,0.08,0.2
-1.507e-04,0.08,0.4
-1.506e-04,0.08,0.2
-1.505e-04,0.16,0.2
-1.504e-04,0.08,0.4
-1.503e-04,0.24,0.2
-1.502e-04,0.16,0.2
-1.501e-04,0.08,0.2
-1.500e-04,0.08,0.4
-1.499e-04,0.08,0.2
-1.498e-04,0.08,0.2
-1.497e-04,0.08,0.4
-1.496e-04,0.24,0.4
-1.495e-04,0.16,0.6
-1.494e-04,0.08,0.4
-1.493e-04,0.16,0.2
-1.492e-04,0.16,0.2
-1.491e-04,0.08,0.2
-1.490e-04,0.08,0.4
-1.489e-04,0.16,0.6
-1.488e-04,0.08,0.2
-1.487e-04,0.16,0.2
-1.486e-04,0.08,0.2
-1.485e-04,0.08,0.4
-1.484e-04,0.16,0.4
-1.483e-04,0.16,0.2
-1.482e-04,0.16,0.4
-1.481e-04,0.16,0.4
-1.480e-04,0.08,0.4
-1.479e-04,0.16,0.2
-1.478e-04,0.16,0.2
-1.477e-04,0.08,0.2
-1.476e-04,0.08,0.2
-1.475e-04,0.16,0
